/usr/local/openjdk-11/bin/java  -classpath /YCSB/conf:/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/YCSB/core/target/dependency/HdrHistogram-2.1.12.jar:/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/YCSB/mongodb/target/mongodb-binding-0.18.0-SNAPSHOT.jar:/YCSB/mongodb/target/dependency/bson-5.1.0.jar:/YCSB/mongodb/target/dependency/bson-record-codec-5.1.0.jar:/YCSB/mongodb/target/dependency/logback-classic-1.1.2.jar:/YCSB/mongodb/target/dependency/logback-core-1.1.2.jar:/YCSB/mongodb/target/dependency/mongodb-async-driver-2.0.1.jar:/YCSB/mongodb/target/dependency/mongodb-driver-core-5.1.0.jar:/YCSB/mongodb/target/dependency/mongodb-driver-sync-5.1.0.jar:/YCSB/mongodb/target/dependency/slf4j-api-1.7.25.jar:/YCSB/mongodb/target/dependency/snappy-java-1.1.7.1.jar site.ycsb.Client -t -db site.ycsb.db.MongoDbClient -s -P workloads/workloadr -p mongodb.url=mongodb://root:mongodb123@my-mongodb-sharded:27017/ycsb?authSource=admin&readPreference=nearest -threads 10
Command line: -t -db site.ycsb.db.MongoDbClient -s -P workloads/workloadr -p mongodb.url=mongodb://root:mongodb123@my-mongodb-sharded:27017/ycsb?authSource=admin&readPreference=nearest -threads 10
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
2025-12-07 05:18:16:529 0 sec: 0 operations; est completion in 0 second 
mongo client connection created with mongodb://root:mongodb123@my-mongodb-sharded:27017/ycsb?authSource=admin&readPreference=nearest
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
#OUTLIER 2025-12-07 05:18:26:471 10 sec: 15746 operations; 1574.44 current ops/sec; est completion in 10 minutes [READ: Count=15746, Max=254207, Min=874, Avg=6028.04, 50=1352, 90=14263, 99=67007, 99.9=85055, 99.99=251775] 
2025-12-07 05:18:36:471 20 sec: 34866 operations; 1912.19 current ops/sec; est completion in 9 minutes [READ: Count=19120, Max=86847, Min=855, Avg=5225.68, 50=1214, 90=5211, 99=63231, 99.9=80447, 99.99=84607] 
2025-12-07 05:18:46:470 30 sec: 54161 operations; 1929.5 current ops/sec; est completion in 8 minutes [READ: Count=19295, Max=81855, Min=858, Avg=5178.64, 50=1223, 90=2375, 99=76927, 99.9=79935, 99.99=81535] 
2025-12-07 05:18:56:470 40 sec: 70747 operations; 1658.6 current ops/sec; est completion in 8 minutes [READ: Count=16586, Max=92543, Min=842, Avg=6025.66, 50=1225, 90=2277, 99=82047, 99.9=85887, 99.99=89407] 
2025-12-07 05:19:06:471 50 sec: 89574 operations; 1882.7 current ops/sec; est completion in 8 minutes [READ: Count=18827, Max=80959, Min=867, Avg=5308.17, 50=1191, 90=1991, 99=78015, 99.9=79615, 99.99=80767] 
2025-12-07 05:19:16:471 60 sec: 108482 operations; 1890.8 current ops/sec; est completion in 8 minutes [READ: Count=18908, Max=95679, Min=854, Avg=5286.75, 50=1209, 90=2040, 99=77439, 99.9=79039, 99.99=95295] 
2025-12-07 05:19:26:470 70 sec: 124811 operations; 1632.9 current ops/sec; est completion in 8 minutes [READ: Count=16329, Max=90879, Min=868, Avg=6120.03, 50=1233, 90=2107, 99=82623, 99.9=86207, 99.99=89215] 
2025-12-07 05:19:36:470 80 sec: 143497 operations; 1868.6 current ops/sec; est completion in 7 minutes [READ: Count=18686, Max=82111, Min=870, Avg=5349.42, 50=1218, 90=2008, 99=77823, 99.9=79231, 99.99=82111] 
2025-12-07 05:19:46:470 90 sec: 162392 operations; 1889.5 current ops/sec; est completion in 7 minutes [READ: Count=18895, Max=96639, Min=842, Avg=5289.63, 50=1219, 90=2055, 99=77439, 99.9=78975, 99.99=80575] 
2025-12-07 05:19:56:470 100 sec: 178722 operations; 1633 current ops/sec; est completion in 7 minutes [READ: Count=16330, Max=95679, Min=839, Avg=6119.6, 50=1242, 90=2093, 99=82559, 99.9=85823, 99.99=92223] 
2025-12-07 05:20:06:470 110 sec: 197521 operations; 1879.9 current ops/sec; est completion in 7 minutes [READ: Count=18799, Max=84415, Min=852, Avg=5317.27, 50=1238, 90=2041, 99=77503, 99.9=79231, 99.99=83583] 
2025-12-07 05:20:16:470 120 sec: 216285 operations; 1876.4 current ops/sec; est completion in 7 minutes [READ: Count=18764, Max=100927, Min=864, Avg=5325.93, 50=1208, 90=2019, 99=77567, 99.9=79359, 99.99=98687] 
2025-12-07 05:20:26:470 130 sec: 232572 operations; 1628.7 current ops/sec; est completion in 7 minutes [READ: Count=16287, Max=89919, Min=860, Avg=6137.82, 50=1238, 90=2077, 99=82943, 99.9=85695, 99.99=89343] 
2025-12-07 05:20:36:471 140 sec: 251349 operations; 1877.7 current ops/sec; est completion in 6 minutes [READ: Count=18777, Max=83711, Min=855, Avg=5322.53, 50=1217, 90=2014, 99=77759, 99.9=79167, 99.99=82751] 
2025-12-07 05:20:46:470 150 sec: 270328 operations; 1897.9 current ops/sec; est completion in 6 minutes [READ: Count=18979, Max=81343, Min=851, Avg=5266.18, 50=1200, 90=2028, 99=77503, 99.9=79103, 99.99=80703] 
2025-12-07 05:20:56:471 160 sec: 286799 operations; 1647.1 current ops/sec; est completion in 6 minutes [READ: Count=16471, Max=98303, Min=860, Avg=6068.55, 50=1230, 90=2065, 99=82815, 99.9=86399, 99.99=92863] 
